Time,NEG600,NEG400,NEG200,NEG100,NEG50,NEG1,LC,POS1,POS50,POS100,POS200,POS400,POS600,POS800
23-Oct-2019 07:04:00,6.85281293044682e-06,4.98720837640576e-05,0.000389528198866174,0.00194635323714465,0.00606353068724275,0.0266698654741049,0.0360544919967651,0.0276420675218105,0.0122368829324841,0.0101095112040639,0.00998421665281057,0.0109830861911178,0.00943411514163017,0.00416966108605266
23-Oct-2019 07:05:00,6.87418105371762e-06,4.99421330459882e-05,0.000391685345675796,0.00197515264153481,0.00612898403778672,0.0267270430922508,0.0324903652071953,0.0277100298553705,0.0122555885463953,0.0101147722452879,0.00998385902494192,0.0109799383208156,0.00943482760339975,0.00417388463392854
23-Oct-2019 07:06:00,6.89410171617055e-06,5.00056776218116e-05,0.00039390497840941,0.00200470071285963,0.00619525602087379,0.0206325855106115,0.0214613024145365,0.0215309392660856,0.0122735407203436,0.0101200556382537,0.00998374260962009,0.0109768426045775,0.00943461153656244,0.00417694170027971
23-Oct-2019 07:07:00,6.9148527472862e-06,5.00794412801042e-05,0.00039639076567255,0.00203665858134627,0.00626623723655939,0.0182111486792564,0.0188296027481556,0.0190543420612812,0.0122872609645128,0.0101250987499952,0.00998389348387718,0.010973809286952,0.00943345297127962,0.00417874753475189
23-Oct-2019 07:08:00,6.94121536071179e-06,5.01767390232999e-05,0.000399186566937715,0.00207118177786469,0.00633685011416674,0.0166505854576826,0.0171660501509905,0.017426760867238,0.012288223952055,0.0101298093795776,0.00998432282358408,0.0109708374366164,0.00943141151219606,0.00417934264987707
23-Oct-2019 07:09:00,6.97617770129e-06,5.03082774230279e-05,0.000402355653932318,0.00210865493863821,0.00639977911487222,0.0155126992613077,0.0159617718309164,0.0162290334701538,0.0122662195935845,0.0101341363042593,0.00998502317816019,0.0109679233282804,0.00942850392311811,0.00417891656979918
23-Oct-2019 07:10:00,7.02078796166461e-06,5.04875606566202e-05,0.000406051432946697,0.00215030019171536,0.00645404355600476,0.0146339563652873,0.0150350509211421,0.0152982929721475,0.0122171528637409,0.0101378606632352,0.00998602714389563,0.0109650623053312,0.0094250375404954,0.00417794799432158
23-Oct-2019 07:11:00,7.07555273038452e-06,5.07154873048421e-05,0.000410343520343304,0.00219697994180024,0.00650209793820977,0.0139319393783808,0.0142954923212528,0.0145505126565695,0.0121433110907674,0.0101406583562493,0.00998737942427397,0.0109622506424785,0.00942124053835869,0.0041769752278924
23-Oct-2019 07:12:00,7.14075849828077e-06,5.0994276534766e-05,0.000415210553910583,0.00224779522977769,0.00654272316023707,0.0133550725877285,0.013688649982214,0.0139345778152347,0.0120527790859342,0.0101427063345909,0.00998901203274727,0.010959486477077,0.00941714178770781,0.00417598290368915
23-Oct-2019 07:13:00,7.21459628039156e-06,5.13162194692995e-05,0.000420601369114593,0.00230200029909611,0.00657612271606922,0.0128700481727719,0.013179263100028,0.0134163098409772,0.0119521114975214,0.0101441433653235,0.00999083556234837,0.0109567418694496,0.00941263698041439,0.00417437078431249
23-Oct-2019 07:14:00,7.29405019228579e-06,5.16663640155457e-05,0.000426385697210208,0.00235825916752219,0.00660203257575631,0.0124553861096501,0.0127445515245199,0.0129734268411994,0.011846243403852,0.0101449359208345,0.00999286398291588,0.0109540317207575,0.0094075771048665,0.00417219800874591
23-Oct-2019 07:15:00,7.37504160497338e-06,5.20332469022833e-05,0.000432545493822545,0.00241631199605763,0.00662231957539916,0.0120969163253903,0.012369223870337,0.0125905917957425,0.0117384027689695,0.0101449964568019,0.00999509356915951,0.010951355099678,0.00940190907567739,0.00416921311989427
23-Oct-2019 07:16:00,7.45601573726162e-06,5.24087117810268e-05,0.000439013849245384,0.00247529405169189,0.00663750059902668,0.0117836343124509,0.0120416469871998,0.0122562311589718,0.0116312392055988,0.0101443473249674,0.00999748986214399,0.0109487008303404,0.00939561519771814,0.00416538957506418
23-Oct-2019 07:17:00,7.53265294406447e-06,5.27780102856923e-05,0.000445671495981514,0.00253372848965228,0.00664669182151556,0.0115064075216651,0.0117523781955242,0.0119610540568829,0.0115269999951124,0.010143163613975,0.00999999605119228,0.0109460595995188,0.00938880443572998,0.00416071806102991
23-Oct-2019 07:18:00,7.60344619266107e-06,5.31225668964908e-05,0.000452274281997234,0.00258927745744586,0.00664785364642739,0.0112575069069862,0.011493556201458,0.0116973714902997,0.011427354067564,0.0101417237892747,0.0100025217980146,0.0109434137120843,0.00938155315816402,0.00415489263832569
23-Oct-2019 07:19:00,7.66775883676019e-06,5.3438310715137e-05,0.000458722905023023,0.00264052883721888,0.00663980795070529,0.0110307950526476,0.0112588386982679,0.0114589026197791,0.0113334329798818,0.0101404376327991,0.0100049367174506,0.0109407557174563,0.00937347672879696,0.00414654705673456
23-Oct-2019 07:20:00,7.72591738495976e-06,5.37248270120472e-05,0.000465013843495399,0.00268792081624269,0.00662529235705733,0.0108240554109216,0.0110454047098756,0.0112423906102777,0.0112441591918468,0.0101389791816473,0.0100073777139187,0.0109381284564734,0.00936365593224764,0.00413529062643647
23-Oct-2019 07:21:00,7.77930381445913e-06,5.39924694749061e-05,0.000471443490823731,0.0027354636695236,0.00661244662478566,0.0106393052265048,0.0108542535454035,0.0110479732975364,0.0111571429297328,0.010136317461729,0.0100102033466101,0.01093555893749,0.00935200322419405,0.00412175245583057
23-Oct-2019 07:22:00,7.83507766755065e-06,5.42848865734413e-05,0.000478622561786324,0.00278744450770319,0.00660723354667425,0.0104766497388482,0.0106850983574986,0.0108750266954303,0.0110721541568637,0.0101321572437882,0.0100134778767824,0.0109330313280225,0.00933866202831268,0.0041060340590775
23-Oct-2019 07:23:00,7.90496687841369e-06,5.46354458492715e-05,0.000486753298901021,0.00284443609416485,0.00661024916917086,0.0103339217603207,0.0105358101427555,0.0107215410098433,0.0109898261725903,0.0101265972480178,0.0100171882659197,0.0109305242076516,0.00932369753718376,0.00408842507749796
23-Oct-2019 07:24:00,7.99253575678449e-06,5.50619115529116e-05,0.000496045569889247,0.00290744681842625,0.00662241829559207,0.0102096162736416,0.0104048326611519,0.0105859758332372,0.0109105110168457,0.010119691491127,0.0100213512778282,0.0109280161559582,0.00930733606219292,0.00406919838860631
23-Oct-2019 07:25:00,8.09810899227159e-06,5.55761143914424e-05,0.000506763753946871,0.00297769345343113,0.00664483895525336,0.0101026762276888,0.0102910371497273,0.0104671865701675,0.0108344359323382,0.0101115070283413,0.0100260097533464,0.010925492271781,0.00928972754627466,0.00404883921146393
23-Oct-2019 07:26:00,8.22145648271544e-06,5.61744709557388e-05,0.000518990971613675,0.00305538345128298,0.00667749485000968,0.0100117335096002,0.0101930750533938,0.0103638712316751,0.0107618421316147,0.0101021630689502,0.0100312000140548,0.0109230503439903,0.00927091017365456,0.00402771076187491
23-Oct-2019 07:27:00,8.36322396935429e-06,5.68601972190663e-05,0.000532735255546868,0.00313905836082995,0.00671774754300714,0.00993384327739477,0.0101082231849432,0.0102735497057438,0.0106933191418648,0.0100921122357249,0.0100368410348892,0.0109203783795238,0.00925109907984734,0.00400583958253264
23-Oct-2019 07:28:00,8.52182256494416e-06,5.76287238800433e-05,0.000548030773643404,0.0032279510051012,0.0067639839835465,0.00986687745898962,0.010034435428679,0.0101942885667086,0.0106291212141514,0.0100817633792758,0.0100427893921733,0.0109176430851221,0.00923034362494946,0.00398288667201996
23-Oct-2019 07:29:00,8.69514224177692e-06,5.84674744459335e-05,0.000564699817914516,0.0033201293554157,0.00681393081322312,0.00980889052152634,0.0099698668345809,0.0101243667304516,0.0105692278593779,0.0100713111460209,0.0100490748882294,0.010914821177721,0.00920864101499319,0.00395897496491671
23-Oct-2019 07:30:00,8.87813985173125e-06,5.93637232668698e-05,0.000582825858145952,0.0034158262424171,0.00686752097681165,0.00975906290113926,0.00991364754736423,0.0100628864020109,0.0105134593322873,0.0100609064102173,0.010055685415864,0.0109118884429336,0.00918571371585131,0.00393390096724033
23-Oct-2019 07:31:00,9.06675631995313e-06,6.03066691837739e-05,0.000602370768319815,0.00351434131152928,0.00692398892715573,0.00971642043441534,0.00986481830477715,0.0100089116021991,0.0104616237804294,0.0100506534799933,0.0100626414641738,0.0109088197350502,0.00916152261197567,0.00390743697062135
23-Oct-2019 07:32:00,9.24940468394198e-06,6.12571311648935e-05,0.000623051484581083,0.00361365964636207,0.00698127783834934,0.00967931468039751,0.00982184056192636,0.00996100995689631,0.0104136308655143,0.0100407497957349,0.0100698927417397,0.0109055917710066,0.0091358246281743,0.00387922371737659
